Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:11:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:11:37     all   21.02    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   78.77
07:11:38     all   22.45    0.00    1.79    0.36    0.00    1.08    0.00    0.00    0.00   74.32
07:11:39     all   21.72    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   77.92
07:11:40     all   21.70    0.00    0.22    0.00    0.00    0.14    0.00    0.00    0.00   77.94
07:11:41     all   21.65    0.00    0.07    0.36    0.00    0.36    0.00    0.00    0.00   77.55
07:11:42     all   21.87    0.00    0.07    0.00    0.00    0.36    0.00    0.00    0.00   77.70
07:11:43     all   21.76    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.09
07:11:44     all   21.65    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.21
07:11:45     all   21.72    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.20
07:11:46     all   21.80    0.00    0.00    0.14    0.00    0.00    0.00    0.00    0.00   78.06
07:11:47     all   21.76    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.16
07:11:48     all   21.72    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   78.14
07:11:49     all   21.73    0.00    0.22    0.00    0.00    0.07    0.00    0.00    0.00   77.98
07:11:50     all   21.69    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.24
07:11:51     all   21.69    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   78.16
07:11:52     all   21.68    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.18
07:11:53     all   21.81    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.12
07:11:54     all   21.73    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   78.12
07:11:55     all   21.81    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.12
07:11:56     all   21.71    0.00    0.07    0.22    0.00    0.07    0.00    0.00    0.00   77.93
07:11:57     all   21.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.16
07:11:58     all   21.65    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.21
07:11:59     all   21.72    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.20
07:12:00     all   21.76    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.16
07:12:01     all   21.72    0.00    0.22    0.14    0.00    0.07    0.00    0.00    0.00   77.85
07:12:02     all   21.71    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.22
07:12:03     all   21.68    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.18
07:12:04     all   21.69    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.24
07:12:05     all   21.68    0.00    0.22    0.00    0.00    0.07    0.00    0.00    0.00   78.03
07:12:06     all   21.68    0.00    0.07    0.14    0.00    0.14    0.00    0.00    0.00   77.96
07:12:07     all   21.69    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.24
