Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:13:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:13:43     all   48.36    0.00    0.21    0.07    0.00    0.07    0.00    0.00    0.00   51.29
07:13:44     all   51.66    0.00    2.04    0.78    0.00    1.69    0.00    0.00    0.00   43.83
07:13:45     all   51.91    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.88
07:13:46     all   51.85    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   48.08
07:13:47     all   51.81    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   47.90
07:13:48     all   51.99    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.94
07:13:49     all   51.99    0.00    0.21    0.21    0.00    0.00    0.00    0.00    0.00   47.59
07:13:50     all   52.02    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   47.91
07:13:51     all   52.06    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   47.87
07:13:52     all   51.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   48.01
07:13:53     all   51.88    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   47.91
07:13:54     all   52.10    0.00    0.00    0.14    0.00    0.00    0.00    0.00    0.00   47.76
07:13:55     all   52.05    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   47.67
07:13:56     all   51.99    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.80
07:13:57     all   51.91    0.00    0.07    0.00    0.00    0.35    0.00    0.00    0.00   47.66
07:13:58     all   52.02    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   47.77
07:13:59     all   52.06    0.00    0.07    0.14    0.00    0.21    0.00    0.00    0.00   47.52
07:14:00     all   51.99    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.87
07:14:01     all   52.06    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.73
07:14:02     all   52.02    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.76
07:14:03     all   52.06    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.87
07:14:04     all   51.89    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.97
07:14:05     all   52.06    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.87
07:14:06     all   51.95    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.91
07:14:07     all   52.02    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.77
07:14:08     all   51.99    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   47.80
07:14:09     all   51.91    0.00    0.07    0.14    0.00    0.07    0.00    0.00    0.00   47.80
07:14:10     all   51.95    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   47.77
07:14:11     all   52.06    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   47.80
07:14:12     all   51.88    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   48.05
07:14:13     all   52.02    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   47.76
