Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:15:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:18     all   67.91    0.00    0.29    0.00    0.00    0.21    0.00    0.00    0.00   31.59
07:15:19     all   73.68    0.00    2.13    0.85    0.00    1.07    0.00    0.00    0.00   22.26
07:15:20     all   73.72    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   26.00
07:15:21     all   73.75    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.03
07:15:22     all   73.75    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.03
07:15:23     all   73.54    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   26.17
07:15:24     all   73.68    0.00    0.00    0.07    0.00    0.36    0.00    0.00    0.00   25.89
07:15:25     all   73.67    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.12
07:15:26     all   73.58    0.00    0.21    0.00    0.00    0.14    0.00    0.00    0.00   26.07
07:15:27     all   73.61    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   26.17
07:15:28     all   73.71    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.21
07:15:29     all   73.68    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   25.89
07:15:30     all   73.47    0.00    0.28    0.00    0.00    0.07    0.00    0.00    0.00   26.17
07:15:31     all   73.73    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.12
07:15:32     all   73.61    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   26.17
07:15:33     all   73.61    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.17
07:15:34     all   73.65    0.00    0.07    0.14    0.00    0.28    0.00    0.00    0.00   25.85
07:15:35     all   73.77    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   26.09
07:15:36     all   73.58    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.21
07:15:37     all   73.74    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.19
07:15:38     all   73.79    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.07
07:15:39     all   73.56    0.00    0.21    0.07    0.00    0.14    0.00    0.00    0.00   26.02
07:15:40     all   73.80    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.12
07:15:41     all   73.59    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.26
07:15:42     all   73.70    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.15
07:15:43     all   73.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.25
07:15:44     all   73.66    0.00    0.07    0.14    0.00    0.14    0.00    0.00    0.00   25.98
07:15:45     all   73.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.20
07:15:46     all   73.70    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   26.09
07:15:47     all   73.58    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.35
07:15:48     all   73.77    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.09
