Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:14:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:14:47     all   61.15    0.00    0.36    0.00    0.00    0.43    0.00    0.00    0.00   38.07
07:14:48     all   66.36    0.00    2.14    0.71    0.00    1.00    0.00    0.00    0.00   29.79
07:14:49     all   66.52    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   33.19
07:14:50     all   66.31    0.00    0.21    0.00    0.00    0.14    0.00    0.00    0.00   33.33
07:14:51     all   66.36    0.00    0.21    0.00    0.00    0.21    0.00    0.00    0.00   33.22
07:14:52     all   66.31    0.00    0.28    0.00    0.00    0.07    0.00    0.00    0.00   33.33
07:14:53     all   66.50    0.00    0.21    0.07    0.00    0.07    0.00    0.00    0.00   33.14
07:14:54     all   66.36    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   33.43
07:14:55     all   66.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.50
07:14:56     all   66.45    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   33.26
07:14:57     all   66.41    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.52
07:14:58     all   66.64    0.00    0.07    0.14    0.00    0.07    0.00    0.00    0.00   33.07
07:14:59     all   66.43    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.50
07:15:00     all   66.41    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   33.45
07:15:01     all   66.50    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.43
07:15:02     all   66.43    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   33.14
07:15:03     all   66.48    0.00    0.07    0.14    0.00    0.00    0.00    0.00    0.00   33.31
07:15:04     all   66.43    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   33.43
07:15:05     all   66.31    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   33.48
07:15:06     all   66.60    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   33.33
07:15:07     all   66.41    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   33.45
07:15:08     all   66.45    0.00    0.07    0.14    0.00    0.28    0.00    0.00    0.00   33.05
07:15:09     all   66.45    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   33.40
07:15:10     all   66.50    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.43
07:15:11     all   66.52    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   33.40
07:15:12     all   66.52    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   33.33
07:15:13     all   66.60    0.00    0.00    0.14    0.00    0.07    0.00    0.00    0.00   33.19
07:15:14     all   66.36    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   33.43
07:15:15     all   66.50    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   33.21
07:15:16     all   66.50    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   33.36
07:15:17     all   66.57    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   33.29
