Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:12:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:12:40     all   34.90    0.00    0.21    0.00    0.00    0.14    0.00    0.00    0.00   64.74
07:12:41     all   37.87    0.00    1.41    0.71    0.00    0.99    0.00    0.00    0.00   59.03
07:12:42     all   37.60    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.26
07:12:43     all   37.49    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   62.23
07:12:44     all   37.59    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   62.13
07:12:45     all   37.65    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   62.00
07:12:46     all   37.42    0.00    0.07    0.14    0.00    0.14    0.00    0.00    0.00   62.23
07:12:47     all   37.68    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   61.97
07:12:48     all   37.53    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   62.19
07:12:49     all   37.43    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   62.29
07:12:50     all   37.73    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.06
07:12:51     all   37.62    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   61.96
07:12:52     all   37.60    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   62.12
07:12:53     all   37.63    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.15
07:12:54     all   37.77    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.08
07:12:55     all   37.74    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.05
07:12:56     all   37.60    0.00    0.21    0.14    0.00    0.21    0.00    0.00    0.00   61.84
07:12:57     all   37.68    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   62.11
07:12:58     all   37.75    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   62.04
07:12:59     all   37.66    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   62.20
07:13:00     all   37.63    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.15
07:13:01     all   37.74    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   61.84
07:13:02     all   37.61    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   62.10
07:13:03     all   37.73    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.06
07:13:04     all   37.62    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   62.16
07:13:05     all   37.70    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   62.08
07:13:06     all   37.56    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   62.01
07:13:07     all   37.56    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   62.15
07:13:08     all   37.46    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   62.18
07:13:09     all   37.75    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   62.04
07:13:10     all   37.68    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   62.11
