Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:36:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:36:44     all    6.13    0.00    0.36    0.78    0.00    0.00    0.00    0.00    0.00   92.72
03:36:45     all    7.27    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   92.58
03:36:46     all    7.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.68
03:36:47     all    7.20    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.73
03:36:48     all    7.17    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   92.76
03:36:49     all    7.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.73
03:36:50     all    7.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.80
03:36:51     all    7.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.75
03:36:52     all    7.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.73
03:36:53     all    7.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.79
03:36:54     all    7.26    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   92.67
03:36:55     all    7.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.74
03:36:56     all    7.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.72
03:36:56     all    7.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.73
03:36:57     all    7.20    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.72
03:36:58     all    7.20    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   92.65
03:36:59     all    7.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.81
03:37:00     all    7.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.68
03:37:01     all    7.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.77
03:37:02     all    7.28    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.65
03:37:03     all    7.20    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   92.72
03:37:04     all    7.23    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.70
03:37:05     all    7.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.63
03:37:06     all    7.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.81
03:37:07     all    7.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.79
03:37:08     all    7.22    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   92.71
03:37:09     all    7.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.79
03:37:10     all    7.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.79
03:37:11     all    7.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.76
03:37:12     all    7.17    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   92.69
03:37:13     all    7.25    0.00    0.00    0.22    0.00    0.00    0.00    0.00    0.00   92.53
