Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:39:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:39:19     all   42.79    0.00    0.00    0.21    0.00    0.14    0.00    0.00    0.00   56.86
03:39:20     all   44.51    0.00    0.14    0.00    0.00    0.56    0.00    0.00    0.00   54.79
03:39:21     all   44.80    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   54.99
03:39:22     all   44.73    0.00    0.00    0.00    0.00    0.28    0.00    0.00    0.00   54.98
03:39:23     all   45.00    0.00    0.00    0.00    0.00    0.35    0.00    0.00    0.00   54.65
03:39:24     all   44.82    0.00    0.07    0.07    0.00    0.14    0.00    0.00    0.00   54.90
03:39:25     all   44.70    0.00    0.00    0.00    0.00    0.28    0.00    0.00    0.00   55.01
03:39:26     all   44.77    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   55.02
03:39:27     all   44.81    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   54.84
03:39:28     all   44.87    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   54.92
03:39:29     all   45.01    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   54.85
03:39:30     all   44.87    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   55.06
03:39:31     all   44.73    0.00    0.00    0.00    0.00    0.35    0.00    0.00    0.00   54.91
03:39:32     all   44.87    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   54.92
03:39:33     all   44.80    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   54.99
03:39:34     all   44.93    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   54.93
03:39:34     all   43.42    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   56.44
03:39:35     all   44.65    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   55.14
03:39:36     all   44.67    0.00    0.00    0.00    0.00    0.42    0.00    0.00    0.00   54.90
03:39:37     all   44.93    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   55.00
03:39:38     all   44.90    0.00    0.00    0.14    0.00    0.14    0.00    0.00    0.00   54.82
03:39:39     all   44.80    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   55.06
03:39:40     all   44.74    0.00    0.07    0.00    0.00    0.49    0.00    0.00    0.00   54.69
03:39:41     all   44.81    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   54.84
03:39:42     all   44.86    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   54.93
03:39:43     all   44.77    0.00    0.00    0.07    0.00    0.28    0.00    0.00    0.00   54.88
03:39:44     all   44.84    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   54.88
03:39:45     all   44.89    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   54.96
03:39:46     all   44.83    0.00    0.00    0.00    0.00    0.35    0.00    0.00    0.00   54.82
03:39:47     all   44.92    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   54.80
03:39:48     all   44.77    0.00    0.00    0.07    0.00    0.35    0.00    0.00    0.00   54.81
