Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:37:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:37:15     all   14.35    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   85.58
03:37:16     all   15.43    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   84.43
03:37:17     all   15.42    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   84.51
03:37:18     all   15.51    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   84.42
03:37:19     all   15.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.55
03:37:20     all   15.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.44
03:37:21     all   15.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.67
03:37:22     all   15.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.56
03:37:23     all   15.53    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   84.33
03:37:24     all   15.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.53
03:37:25     all   15.56    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   84.37
03:37:26     all   15.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.57
03:37:27     all   15.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.50
03:37:28     all   15.32    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   84.61
03:37:28     all   14.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.12
03:37:29     all   14.43    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.43
03:37:30     all   14.39    0.00    0.29    0.29    0.00    0.21    0.00    0.00    0.00   84.82
03:37:31     all   14.52    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   85.19
03:37:32     all   14.47    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.39
03:37:33     all   14.52    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   85.40
03:37:34     all   14.49    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   85.37
03:37:35     all   14.43    0.00    0.14    0.07    0.00    0.00    0.00    0.00    0.00   85.35
03:37:36     all   14.56    0.00    0.14    0.07    0.00    0.00    0.00    0.00    0.00   85.22
03:37:37     all   14.51    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.35
03:37:38     all   14.40    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   85.32
03:37:39     all   14.53    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   85.18
03:37:40     all   14.38    0.00    0.14    0.07    0.00    0.00    0.00    0.00    0.00   85.41
03:37:41     all   14.49    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   85.22
03:37:42     all   14.47    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   85.46
03:37:43     all   14.50    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.36
03:37:44     all   14.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   85.41
