Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:42:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:57     all   20.80    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   79.06
03:42:58     all   21.74    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   78.12
03:42:59     all   21.78    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.15
03:43:00     all   21.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.12
03:43:01     all   21.83    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.17
03:43:02     all   21.86    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   78.00
03:43:03     all   21.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.09
03:43:04     all   21.70    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.23
03:43:05     all   21.88    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   77.98
03:43:06     all   21.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.16
03:43:07     all   21.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.11
03:43:08     all   21.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.21
03:43:09     all   21.83    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.17
03:43:10     all   21.97    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   77.96
03:43:11     all   21.77    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.16
03:43:12     all   21.75    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   78.17
03:43:13     all   21.95    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   77.98
03:43:14     all   21.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.25
03:43:15     all   21.84    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   78.08
03:43:15     all   21.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.19
03:43:16     all   23.74    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   76.19
03:43:17     all   23.69    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.24
03:43:18     all   23.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.35
03:43:19     all   23.71    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.22
03:43:20     all   23.60    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   76.33
03:43:21     all   23.87    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   76.06
03:43:22     all   23.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.26
03:43:23     all   23.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.38
03:43:24     all   23.67    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   76.26
03:43:25     all   23.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.33
03:43:26     all   23.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.38
