Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:41:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:41:55     all    6.91    0.00    0.21    0.00    0.00    0.07    0.00    0.00    0.00   92.80
03:41:56     all    9.47    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   90.46
03:41:57     all    9.39    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   90.40
03:41:58     all    9.41    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   90.45
03:41:59     all    9.30    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   90.56
03:42:00     all    9.37    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   90.56
03:42:01     all    9.38    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   90.48
03:42:02     all    9.36    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   90.50
03:42:03     all    9.33    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   90.53
03:42:04     all    9.32    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   90.55
03:42:05     all    9.52    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   90.41
03:42:06     all    9.32    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   90.48
03:42:07     all    9.46    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   90.40
03:42:08     all    9.39    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   90.54
03:42:09     all    9.53    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   90.40
03:42:10     all    9.37    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   90.49
03:42:11     all    9.40    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   90.53
03:42:11     all    8.72    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   91.13
03:42:12     all    7.24    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.69
03:42:13     all    7.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.77
03:42:14     all    7.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.76
03:42:15     all    7.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.70
03:42:16     all    7.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.76
03:42:17     all    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.65
03:42:18     all    7.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.77
03:42:19     all    7.22    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.71
03:42:20     all    7.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.71
03:42:21     all    7.22    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   92.71
03:42:22     all    7.30    0.00    0.00    0.14    0.00    0.00    0.00    0.00    0.00   92.55
03:42:23     all    7.43    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   92.50
03:42:24     all    7.28    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   92.58
