Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:45:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:45:32     all   54.58    0.00    0.29    0.00    0.00    0.14    0.00    0.00    0.00   44.99
03:45:33     all   59.23    0.00    0.21    0.07    0.00    0.21    0.00    0.00    0.00   40.27
03:45:34     all   59.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   40.43
03:45:35     all   59.44    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   40.48
03:45:36     all   59.43    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   40.50
03:45:37     all   59.44    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   40.49
03:45:38     all   59.47    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   40.38
03:45:39     all   59.55    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.31
03:45:40     all   59.27    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   40.51
03:45:41     all   59.43    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.43
03:45:42     all   59.36    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   40.57
03:45:43     all   59.38    0.00    0.07    0.07    0.00    0.21    0.00    0.00    0.00   40.27
03:45:44     all   59.39    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   40.54
03:45:45     all   59.30    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   40.63
03:45:46     all   59.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   40.46
03:45:47     all   59.25    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   40.54
03:45:48     all   59.16    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   40.63
03:45:49     all   59.17    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.69
03:45:50     all   59.20    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   40.51
03:45:51     all   59.52    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.34
03:45:52     all   59.33    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   40.46
03:45:52     all   57.56    0.00    0.00    0.07    0.00    0.14    0.00    0.00    0.00   42.23
03:45:53     all   59.40    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.46
03:45:54     all   59.32    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   40.47
03:45:55     all   59.32    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.54
03:45:56     all   59.29    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   40.50
03:45:57     all   59.45    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.41
03:45:58     all   59.36    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.50
03:45:59     all   59.36    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   40.43
03:46:00     all   59.32    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.54
03:46:01     all   59.32    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   40.54
