Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:46:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:46:03     all   61.55    0.00    0.43    0.14    0.00    0.21    0.00    0.00    0.00   37.66
03:46:04     all   66.41    0.00    0.00    0.00    0.00    0.28    0.00    0.00    0.00   33.31
03:46:05     all   66.52    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.33
03:46:06     all   66.57    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.29
03:46:07     all   66.57    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.29
03:46:08     all   66.45    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.40
03:46:09     all   66.43    0.00    0.07    0.14    0.00    0.07    0.00    0.00    0.00   33.29
03:46:10     all   66.29    0.00    0.00    0.00    0.00    0.36    0.00    0.00    0.00   33.36
03:46:11     all   66.69    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.17
03:46:12     all   66.36    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   33.43
03:46:13     all   66.41    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   33.31
03:46:14     all   66.34    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   33.45
03:46:15     all   66.52    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   33.40
03:46:16     all   66.52    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.33
03:46:17     all   66.50    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   33.29
03:46:18     all   66.36    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   33.43
03:46:19     all   66.38    0.00    0.14    0.00    0.00    0.21    0.00    0.00    0.00   33.26
03:46:20     all   66.36    0.00    0.14    0.00    0.00    0.36    0.00    0.00    0.00   33.14
03:46:21     all   66.55    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   33.31
03:46:22     all   66.36    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   33.36
03:46:23     all   66.55    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   33.17
03:46:23     all   65.60    0.00    0.14    0.07    0.00    0.21    0.00    0.00    0.00   33.97
03:46:24     all   65.29    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   34.50
03:46:25     all   66.45    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.48
03:46:26     all   66.31    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   33.55
03:46:27     all   66.45    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   33.40
03:46:28     all   66.21    0.00    0.07    0.07    0.00    0.21    0.00    0.00    0.00   33.43
03:46:29     all   66.38    0.00    0.00    0.00    0.00    0.29    0.00    0.00    0.00   33.33
03:46:30     all   65.98    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   33.81
03:46:31     all   65.71    0.00    0.21    0.00    0.00    0.14    0.00    0.00    0.00   33.93
03:46:32     all   66.00    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   33.78
