Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:43:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:59     all   34.02    0.00    0.36    0.00    0.00    0.14    0.00    0.00    0.00   65.48
03:44:00     all   36.64    0.00    0.22    0.07    0.00    0.07    0.00    0.00    0.00   63.00
03:44:01     all   36.82    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.11
03:44:02     all   36.75    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.18
03:44:03     all   36.52    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.41
03:44:04     all   36.56    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.36
03:44:05     all   36.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.53
03:44:06     all   36.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.37
03:44:07     all   36.52    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.41
03:44:08     all   36.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.58
03:44:09     all   36.48    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   63.37
03:44:10     all   36.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.51
03:44:11     all   36.44    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   63.48
03:44:12     all   36.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.51
03:44:13     all   36.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.46
03:44:14     all   36.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   63.20
03:44:15     all   36.42    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   63.51
03:44:16     all   36.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   63.42
03:44:17     all   36.49    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   63.44
03:44:18     all   36.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   63.20
03:44:18     all   36.00    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   63.86
03:44:19     all   38.08    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   61.85
03:44:20     all   37.77    0.00    0.00    0.00    0.00    0.43    0.00    0.00    0.00   61.80
03:44:21     all   37.95    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   61.90
03:44:22     all   38.00    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   61.93
03:44:23     all   37.91    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   61.95
03:44:24     all   37.97    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   61.89
03:44:25     all   37.95    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   61.98
03:44:26     all   37.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.02
03:44:27     all   37.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.01
03:44:28     all   38.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.98
