Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:44:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:30     all   41.35    0.00    0.21    0.00    0.00    0.14    0.00    0.00    0.00   58.29
03:44:31     all   45.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.94
03:44:32     all   45.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.88
03:44:33     all   45.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.95
03:44:34     all   45.01    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   54.85
03:44:35     all   45.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.86
03:44:36     all   45.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.93
03:44:37     all   45.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.93
03:44:38     all   45.09    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   54.84
03:44:39     all   45.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.80
03:44:40     all   45.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.92
03:44:41     all   44.98    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   54.95
03:44:42     all   45.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.92
03:44:43     all   45.05    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   54.88
03:44:44     all   44.99    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   54.87
03:44:45     all   44.94    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   54.99
03:44:46     all   45.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.80
03:44:47     all   44.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   55.08
03:44:48     all   45.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.99
03:44:49     all   44.67    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   55.18
03:44:49     all   43.57    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   56.21
03:44:50     all   43.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.48
03:44:51     all   43.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.30
03:44:52     all   43.73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.27
03:44:53     all   43.83    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   56.10
03:44:54     all   43.74    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   56.19
03:44:55     all   43.67    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   56.26
03:44:56     all   43.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.30
03:44:57     all   43.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.30
03:44:58     all   43.73    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   56.20
03:44:59     all   43.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.23
