Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:46:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:46:34     all   68.52    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   30.98
03:46:35     all   73.51    0.00    0.07    0.00    0.00    0.28    0.00    0.00    0.00   26.14
03:46:36     all   73.21    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.65
03:46:37     all   73.18    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.68
03:46:38     all   73.48    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.45
03:46:39     all   73.65    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.28
03:46:40     all   73.45    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.48
03:46:41     all   73.39    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.54
03:46:42     all   73.44    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.49
03:46:43     all   73.45    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.41
03:46:44     all   73.47    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   26.32
03:46:45     all   73.77    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.16
03:46:46     all   73.66    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.27
03:46:47     all   73.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.23
03:46:48     all   73.75    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   26.18
03:46:49     all   73.52    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   26.26
03:46:50     all   73.73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.27
03:46:51     all   73.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.25
03:46:52     all   73.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.26
03:46:53     all   73.73    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   26.20
03:46:54     all   73.24    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.55
03:46:55     all   73.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.14
03:46:55     all   71.81    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   28.12
03:46:56     all   73.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.45
03:46:57     all   73.52    0.00    0.07    0.07    0.00    0.07    0.00    0.00    0.00   26.26
03:46:58     all   73.82    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   26.11
03:46:59     all   73.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.18
03:47:00     all   73.68    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.25
03:47:01     all   73.70    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.23
03:47:02     all   73.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.14
03:47:03     all   73.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   26.25
