Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:17:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:17:07     all   20.38    0.00    0.36    0.14    0.00    0.29    0.00    0.00    0.00   78.83
07:17:08     all   23.22    0.00    1.98    0.92    0.00    0.71    0.00    0.00    0.00   73.18
07:17:09     all   23.14    0.00    0.00    0.00    0.00    0.28    0.00    0.00    0.00   76.57
07:17:10     all   23.18    0.00    0.21    0.00    0.00    0.28    0.00    0.00    0.00   76.33
07:17:11     all   23.32    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   76.54
07:17:12     all   23.09    0.00    0.07    0.00    0.00    0.42    0.00    0.00    0.00   76.41
07:17:13     all   23.10    0.00    0.07    0.07    0.00    0.07    0.00    0.00    0.00   76.69
07:17:14     all   23.19    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   76.74
07:17:15     all   23.01    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   76.85
07:17:16     all   23.17    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.76
07:17:17     all   23.08    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   76.78
07:17:18     all   23.14    0.00    0.21    0.14    0.00    0.07    0.00    0.00    0.00   76.44
07:17:19     all   23.21    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.72
07:17:20     all   23.15    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.78
07:17:21     all   23.20    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   76.45
07:17:22     all   23.15    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.78
07:17:23     all   22.91    0.00    0.14    0.14    0.00    0.35    0.00    0.00    0.00   76.45
07:17:24     all   23.26    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.67
07:17:25     all   23.21    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.72
07:17:26     all   23.07    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   76.72
07:17:27     all   23.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.96
07:17:28     all   23.18    0.00    0.14    0.14    0.00    0.07    0.00    0.00    0.00   76.47
07:17:29     all   23.28    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.65
07:17:30     all   23.10    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   76.76
07:17:31     all   23.17    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   76.76
07:17:32     all   23.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.60
07:17:33     all   23.48    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   76.38
07:17:34     all   23.44    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   76.42
07:17:35     all   23.08    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   76.78
07:17:36     all   23.43    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   76.43
07:17:37     all   23.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.52
