Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:20:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:20:17     all   60.93    0.00    0.43    0.00    0.00    0.50    0.00    0.00    0.00   38.15
07:20:18     all   65.70    0.00    2.34    0.71    0.00    1.42    0.00    0.00    0.00   29.83
07:20:19     all   66.07    0.00    0.36    0.00    0.00    0.07    0.00    0.00    0.00   33.50
07:20:20     all   65.80    0.00    0.14    0.00    0.00    0.29    0.00    0.00    0.00   33.77
07:20:21     all   65.63    0.00    0.07    0.00    0.00    0.29    0.00    0.00    0.00   34.01
07:20:22     all   65.70    0.00    0.15    0.00    0.00    0.22    0.00    0.00    0.00   33.94
07:20:23     all   65.87    0.00    0.14    0.14    0.00    0.14    0.00    0.00    0.00   33.70
07:20:24     all   66.04    0.00    0.22    0.00    0.00    0.07    0.00    0.00    0.00   33.67
07:20:25     all   65.60    0.00    0.15    0.00    0.00    0.15    0.00    0.00    0.00   34.11
07:20:26     all   65.72    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   33.91
07:20:27     all   65.80    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   33.98
07:20:28     all   65.89    0.00    0.22    0.14    0.00    0.14    0.00    0.00    0.00   33.60
07:20:29     all   65.92    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   33.79
07:20:30     all   65.55    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   34.08
07:20:31     all   66.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.99
07:20:32     all   65.92    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   34.01
07:20:33     all   65.99    0.00    0.22    0.14    0.00    0.00    0.00    0.00    0.00   33.65
07:20:34     all   65.90    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   33.82
07:20:35     all   65.67    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   34.18
07:20:36     all   65.75    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   34.18
07:20:37     all   66.11    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   33.81
07:20:38     all   66.06    0.00    0.14    0.22    0.00    0.00    0.00    0.00    0.00   33.57
07:20:39     all   65.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.20
07:20:40     all   65.80    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   34.13
07:20:41     all   65.67    0.00    0.15    0.00    0.00    0.15    0.00    0.00    0.00   34.03
07:20:42     all   65.77    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   34.09
07:20:43     all   65.77    0.00    0.22    0.07    0.00    0.07    0.00    0.00    0.00   33.87
07:20:44     all   65.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   34.18
07:20:45     all   65.62    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   34.16
07:20:46     all   65.89    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   33.96
07:20:47     all   65.97    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   33.82
