Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:20:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:20:48     all   68.88    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   30.76
07:20:49     all   73.31    0.00    1.99    0.78    0.00    0.85    0.00    0.00    0.00   23.07
07:20:50     all   73.98    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   25.95
07:20:51     all   73.80    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.05
07:20:52     all   73.59    0.00    0.21    0.00    0.00    0.28    0.00    0.00    0.00   25.91
07:20:53     all   73.61    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.25
07:20:54     all   73.79    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   26.07
07:20:55     all   73.67    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   26.12
07:20:56     all   73.63    0.00    0.07    0.00    0.00    0.29    0.00    0.00    0.00   26.02
07:20:57     all   73.58    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   26.14
07:20:58     all   73.79    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.07
07:20:59     all   73.51    0.00    0.21    0.14    0.00    0.14    0.00    0.00    0.00   25.99
07:21:00     all   73.75    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.11
07:21:01     all   73.72    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   26.07
07:21:02     all   73.61    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   26.18
07:21:03     all   73.63    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   26.23
07:21:04     all   73.44    0.00    0.14    0.14    0.00    0.28    0.00    0.00    0.00   25.99
07:21:05     all   73.71    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.14
07:21:06     all   73.59    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   26.19
07:21:07     all   73.65    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   26.28
07:21:08     all   73.59    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.26
07:21:09     all   73.59    0.00    0.07    0.07    0.00    0.21    0.00    0.00    0.00   26.05
07:21:10     all   73.59    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   26.12
07:21:11     all   73.52    0.00    0.07    0.00    0.00    0.21    0.00    0.00    0.00   26.19
07:21:12     all   73.47    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   26.24
07:21:13     all   73.61    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   26.24
07:21:14     all   73.49    0.00    0.00    0.14    0.00    0.28    0.00    0.00    0.00   26.08
07:21:15     all   73.52    0.00    0.14    0.00    0.00    0.21    0.00    0.00    0.00   26.12
07:21:16     all   73.44    0.00    0.14    0.00    0.00    0.21    0.00    0.00    0.00   26.21
07:21:17     all   73.42    0.00    0.00    0.00    0.00    0.21    0.00    0.00    0.00   26.37
07:21:18     all   73.44    0.00    0.14    0.00    0.00    0.28    0.00    0.00    0.00   26.14
