Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:18:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:18:10     all   34.66    0.00    0.14    0.00    0.00    0.21    0.00    0.00    0.00   64.98
07:18:11     all   37.62    0.00    1.56    0.43    0.00    0.85    0.00    0.00    0.00   59.55
07:18:12     all   37.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.07
07:18:13     all   37.74    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   62.05
07:18:14     all   37.80    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.06
07:18:15     all   37.70    0.00    0.00    0.00    0.00    0.63    0.00    0.00    0.00   61.66
07:18:16     all   37.70    0.00    0.00    0.14    0.00    0.07    0.00    0.00    0.00   62.08
07:18:17     all   37.82    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.11
07:18:18     all   37.71    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.22
07:18:19     all   37.77    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.16
07:18:20     all   37.77    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.09
07:18:21     all   37.69    0.00    0.07    0.21    0.00    0.07    0.00    0.00    0.00   61.95
07:18:22     all   37.79    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   62.14
07:18:23     all   37.75    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   62.18
07:18:24     all   37.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.25
07:18:25     all   37.86    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.00
07:18:26     all   37.72    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   62.14
07:18:27     all   37.72    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.21
07:18:28     all   37.75    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   62.18
07:18:29     all   37.77    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   62.16
07:18:30     all   37.72    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.21
07:18:31     all   37.87    0.00    0.00    0.14    0.00    0.07    0.00    0.00    0.00   61.91
07:18:32     all   37.74    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   62.19
07:18:33     all   37.72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.28
07:18:34     all   37.77    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   62.02
07:18:35     all   37.69    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   62.16
07:18:36     all   37.81    0.00    0.14    0.14    0.00    0.07    0.00    0.00    0.00   61.84
07:18:37     all   37.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.20
07:18:38     all   37.69    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   62.09
07:18:39     all   37.86    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   62.07
07:18:40     all   37.78    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   62.01
